init_r,r,ur
2.674100, 3.036310, 0.040024
2.674100, 11.741737, -0.004195
2.674100, 3.017092, -0.038319
2.674100, 2.673402, 0.000058
2.674100, 3.032930, 0.039731
2.674100, 11.744424, -0.002762
2.674100, 3.020279, -0.038608
2.674100, 2.672923, -0.000022
2.674100, 3.014224, 0.038065
2.674100, 11.738425, 0.005477
2.674100, 3.039320, -0.040292
2.674100, 2.673857, -0.000051
2.674100, 3.025435, 0.039061
2.674100, 11.746381, 0.000503
2.674100, 3.027736, -0.039266
2.674100, 2.673940, 0.000044
2.674100, 3.039700, 0.040324
2.674100, 11.737951, -0.005636
2.674100, 3.013876, -0.038033
2.674100, 2.672983, 0.000032
2.674100, 3.022592, 0.038815
2.674100, 11.745659, 0.001737
2.674100, 3.030549, -0.039521
2.674100, 2.673286, -0.000055
2.674100, 3.015702, 0.038195
2.674100, 11.740235, 0.004818
2.674100, 3.037774, -0.040153
2.674100, 2.674090, -0.000012
2.674100, 3.034539, 0.039868
2.674100, 11.743282, -0.003439
2.674100, 3.018787, -0.038470
2.674100, 2.673520, 0.000060
2.674100, 3.035068, 0.039919
2.674100, 11.742846, -0.003676
2.674100, 3.018228, -0.038425
2.674100, 2.672885, -0.000012
2.674100, 3.015036, 0.038138
2.674100, 11.739468, 0.005110
2.674100, 3.038448, -0.040215
2.674100, 2.673760, -0.000056
2.674100, 3.023179, 0.038861
2.674100, 11.745851, 0.001493
2.674100, 3.030018, -0.039468
2.674100, 2.674007, 0.000035
2.674100, 3.039584, 0.040314
2.674100, 11.738100, -0.005585
2.674100, 3.013991, -0.038043
2.674100, 2.673064, 0.000041
2.674100, 3.025079, 0.039036
2.674100, 11.746358, 0.000643
2.674100, 3.028025, -0.039297
2.674100, 2.673176, -0.000049
2.674100, 3.014671, 0.038103
2.674100, 11.738986, 0.005280
2.674100, 3.038864, -0.040250
2.674100, 2.674062, -0.000023
2.674100, 3.032530, 0.039690
2.674100, 11.744670, -0.002577
2.674100, 3.020727, -0.038643
2.674100, 2.673636, 0.000059
2.674100, 3.036875, 0.040078
2.674100, 11.741173, -0.004445
2.674100, 3.016513, -0.038271
2.674100, 2.672870, -0.000001
2.674100, 3.016290, 0.038251
2.674100, 11.740931, 0.004545
2.674100, 3.037112, -0.040098
2.674100, 2.673653, -0.000059
2.674100, 3.021034, 0.038670
2.674100, 11.744853, 0.002441
2.674100, 3.032214, -0.039662
2.674100, 2.674056, 0.000025
2.674100, 3.038991, 0.040261
2.674100, 11.738833, -0.005334
2.674100, 3.014551, -0.038093
2.674100, 2.673160, 0.000048
2.674100, 3.027642, 0.039263
2.674100, 11.746408, -0.000477
2.674100, 3.025459, -0.039070
2.674100, 2.673077, -0.000042
2.674100, 3.014047, 0.038048
2.674100, 11.738175, 0.005560
2.674100, 3.039525, -0.040308
2.674100, 2.674015, -0.000034
2.674100, 3.030354, 0.039498
2.674100, 11.745730, -0.001638
2.674100, 3.022850, -0.038832
2.674100, 2.673745, 0.000057
2.674100, 3.038277, 0.040201
2.674100, 11.739664, -0.005038
2.674100, 3.015196, -0.038153
2.674100, 2.672881, 0.000010
2.674100, 3.017949, 0.038400
2.674100, 11.742595, 0.003801
2.674100, 3.035361, -0.039945
2.674100, 2.673538, -0.000060
2.674100, 3.019063, 0.038495
2.674100, 11.743504, 0.003316
2.674100, 3.034252, -0.039842
2.674100, 2.674087, 0.000014
2.674100, 3.037962, 0.040170
2.674100, 11.740028, -0.004898
2.674100, 3.015524, -0.038179
2.674100, 2.673269, 0.000054
2.674100, 3.030179, 0.039488
2.674100, 11.745802, -0.001577
2.674100, 3.022955, -0.038847
2.674100, 2.672994, -0.000033
2.674100, 3.013864, 0.038032
2.674100, 11.737934, 0.005641
2.674100, 3.039714, -0.040326
2.674100, 2.673951, -0.000043
2.674100, 3.028080, 0.039296
2.674100, 11.746334, -0.000652
2.674100, 3.025093, -0.039031
2.674100, 2.673843, 0.000052
2.674100, 3.039221, 0.040283
2.674100, 11.738547, -0.005435
2.674100, 3.014316, -0.038073
2.674100, 2.672916, 0.000021
