t,sum_log_stretch
0.018995,0.300625
3.817615,0.424822
7.614300,0.499015
11.407224,0.628228
15.194802,1.161926
18.975453,1.764833
22.747090,2.343359
26.506884,2.295509
30.251344,3.418907
33.976338,4.244039
37.677115,4.560599
41.348472,4.712445
44.984828,5.131260
48.580245,5.459464
52.128613,5.771050
55.623943,6.046793
59.060655,6.385220
62.433899,6.802049
65.739930,7.111134
68.976418,7.258287
72.142578,7.430024
75.239119,7.669447
78.268045,7.857638
81.232360,7.993084
84.135760,8.088712
86.982342,8.123718
89.776372,8.061884
92.522097,7.850142
95.223626,7.383429
97.884842,7.002501
100.509357,7.814892
103.100494,8.415299
105.661285,8.815842
108.194477,9.104753
110.702552,9.323541
113.187747,9.494966
115.652076,9.633439
118.097351,9.749029
120.525204,9.849122
122.937106,9.939091
125.334386,10.022581
127.718244,10.101735
130.089769,10.177514
132.449950,10.250097
134.799686,10.319273
137.139801,10.384744
139.471047,10.446300
141.794114,10.503879
144.109637,10.557572
146.418205,10.607584
148.720359,10.654188
151.016604,10.697689
153.307411,10.738392
155.593218,10.776584
157.874437,10.812521
160.151455,10.846430
162.424637,10.878508
164.694329,10.908932
166.960859,10.937864
169.224540,10.965466
171.485673,10.991903
173.744544,11.017355
176.001431,11.042023
178.256603,11.066134
180.510321,11.089946
182.762838,11.113744
185.014405,11.137845
187.265265,11.162587
189.515662,11.188322
191.765836,11.215404
194.016026,11.244170
196.266470,11.274926
198.517410,11.307923
200.769088,11.343343
203.021749,11.381283
205.275643,11.421750
207.531026,11.464655
209.788160,11.509824
212.047313,11.557009
214.308764,11.605905
216.572803,11.656171
218.839732,11.707448
221.109864,11.759374
223.383531,11.811603
225.661080,11.863811
227.942880,11.915705
230.229321,11.967021
232.520817,12.017532
234.817812,12.067038
237.120779,12.115368
239.430229,12.162382
241.746709,12.207969
244.070813,12.252062
246.403183,12.294648
248.744518,12.335795
251.095579,12.375663
253.457198,12.414514
255.830287,12.452683
258.215847,12.490527
260.614981,12.528352
263.028907,12.566378
265.458972,12.604776
267.906669,12.643751
270.373654,12.683619
272.861765,12.724866
275.373048,12.768349
277.909774,12.815501
280.474462,12.867824
283.069899,12.925582
285.699156,12.987444
288.365598,13.052225
291.072871,13.120936
293.824884,13.196754
296.625751,13.281489
299.479705,13.370103
302.390959,13.449689
305.363528,13.506240
308.400996,13.534951
311.506255,13.548799
314.681219,13.577391
317.926555,13.632526
