phi,r,z
0.002190,2.704999,0.002749
0.004379,2.704995,0.005498
0.006569,2.704990,0.008247
0.008759,2.704982,0.010996
0.010949,2.704971,0.013745
0.013138,2.704959,0.016494
0.015328,2.704944,0.019242
0.017518,2.704926,0.021991
0.019708,2.704907,0.024739
0.021898,2.704885,0.027488
0.024087,2.704861,0.030236
0.026277,2.704834,0.032984
0.028467,2.704805,0.035732
0.030657,2.704774,0.038480
0.032847,2.704741,0.041228
0.035037,2.704705,0.043975
0.037228,2.704667,0.046723
0.039418,2.704627,0.049470
0.041608,2.704584,0.052216
0.043798,2.704540,0.054963
0.045989,2.704492,0.057709
0.048179,2.704443,0.060455
0.050370,2.704391,0.063201
0.052561,2.704337,0.065947
0.054751,2.704281,0.068692
0.056942,2.704222,0.071437
0.059133,2.704161,0.074181
0.061324,2.704098,0.076925
0.063515,2.704033,0.079669
0.065706,2.703965,0.082413
0.067897,2.703895,0.085156
0.070089,2.703822,0.087898
0.072280,2.703748,0.090641
0.074472,2.703671,0.093382
0.076664,2.703592,0.096124
0.078856,2.703510,0.098865
0.081047,2.703426,0.101605
0.083240,2.703340,0.104345
0.085432,2.703252,0.107085
0.087624,2.703161,0.109824
0.089817,2.703069,0.112562
0.092009,2.702973,0.115300
0.094202,2.702876,0.118038
0.096395,2.702776,0.120775
0.098588,2.702674,0.123511
0.100781,2.702570,0.126247
0.102975,2.702464,0.128982
0.105168,2.702355,0.131717
0.107362,2.702244,0.134451
0.109556,2.702131,0.137184
0.111750,2.702015,0.139917
0.113944,2.701898,0.142649
0.116138,2.701778,0.145380
0.118333,2.701655,0.148111
0.120528,2.701531,0.150841
0.122723,2.701404,0.153571
0.124918,2.701275,0.156299
0.127113,2.701144,0.159027
0.129309,2.701010,0.161754
0.131504,2.700875,0.164481
0.133700,2.700737,0.167206
0.135896,2.700597,0.169931
0.138093,2.700454,0.172655
0.140289,2.700309,0.175379
0.142486,2.700163,0.178101
0.144683,2.700014,0.180823
0.146880,2.699862,0.183544
0.149078,2.699709,0.186263
0.151276,2.699553,0.188983
0.153473,2.699395,0.191701
0.155672,2.699235,0.194418
0.157870,2.699073,0.197135
0.160069,2.698908,0.199850
0.162268,2.698741,0.202565
0.164467,2.698572,0.205278
0.166666,2.698401,0.207991
0.168866,2.698228,0.210703
0.171066,2.698052,0.213413
0.173266,2.697874,0.216123
0.175466,2.697694,0.218832
0.177667,2.697512,0.221540
0.179868,2.697328,0.224246
0.182069,2.697142,0.226952
0.184271,2.696953,0.229656
0.186473,2.696762,0.232360
0.188675,2.696569,0.235062
0.190877,2.696374,0.237764
0.193080,2.696177,0.240464
0.195283,2.695977,0.243163
0.197486,2.695776,0.245861
0.199690,2.695572,0.248558
0.201894,2.695366,0.251254
0.204098,2.695158,0.253948
0.206302,2.694948,0.256642
0.208507,2.694736,0.259334
0.210712,2.694521,0.262025
0.212918,2.694305,0.264714
0.215124,2.694086,0.267403
0.217330,2.693865,0.270090
0.219536,2.693642,0.272776
0.221743,2.693417,0.275461
0.223950,2.693190,0.278144
0.226158,2.692961,0.280827
0.228366,2.692729,0.283507
0.230574,2.692496,0.286187
0.232782,2.692260,0.288865
0.234991,2.692023,0.291542
0.237201,2.691783,0.294218
0.239410,2.691541,0.296892
0.241620,2.691297,0.299564
0.243831,2.691051,0.302236
0.246041,2.690803,0.304906
0.248252,2.690553,0.307574
0.250464,2.690301,0.310241
0.252676,2.690047,0.312907
0.254888,2.689791,0.315571
0.257101,2.689532,0.318234
0.259314,2.689272,0.320895
0.261527,2.689010,0.323555
0.263741,2.688745,0.326213
0.265955,2.688479,0.328870
0.268170,2.688210,0.331525
0.270385,2.687940,0.334179
0.272600,2.687667,0.336831
0.274816,2.687393,0.339482
0.277032,2.687116,0.342131
0.279249,2.686837,0.344778
0.281466,2.686557,0.347424
0.283684,2.686274,0.350068
0.285902,2.685990,0.352711
0.288120,2.685703,0.355352
0.290339,2.685415,0.357991
0.292558,2.685124,0.360628
0.294778,2.684832,0.363264
0.296998,2.684538,0.365899
0.299219,2.684241,0.368531
0.301440,2.683943,0.371162
0.303662,2.683643,0.373791
0.305884,2.683340,0.376418
0.308106,2.683036,0.379044
0.310329,2.682730,0.381668
0.312552,2.682422,0.384290
0.314776,2.682112,0.386910
0.317001,2.681800,0.389529
0.319225,2.681487,0.392145
0.321451,2.681171,0.394760
0.323676,2.680853,0.397373
0.325903,2.680534,0.399984
0.328129,2.680213,0.402593
0.330357,2.679889,0.405201
0.332584,2.679564,0.407806
0.334813,2.679237,0.410410
0.337041,2.678908,0.413012
0.339271,2.678578,0.415611
0.341500,2.678245,0.418209
0.343731,2.677911,0.420805
0.345961,2.677574,0.423399
0.348193,2.677236,0.425991
0.350424,2.676896,0.428581
0.352657,2.676554,0.431169
0.354890,2.676211,0.433755
0.357123,2.675865,0.436339
0.359357,2.675518,0.438921
0.361591,2.675169,0.441501
0.363826,2.674818,0.444079
0.366062,2.674466,0.446655
0.368298,2.674111,0.449228
0.370534,2.673755,0.451800
0.372772,2.673397,0.454369
0.375009,2.673037,0.456937
0.377248,2.672676,0.459502
0.379486,2.672313,0.462065
0.381726,2.671948,0.464626
0.383966,2.671581,0.467185
0.386206,2.671212,0.469741
0.388447,2.670842,0.472296
0.390689,2.670470,0.474848
0.392931,2.670097,0.477398
0.395174,2.669721,0.479946
0.397417,2.669344,0.482492
0.399661,2.668966,0.485035
0.401906,2.668585,0.487576
0.404151,2.668203,0.490115
0.406397,2.667819,0.492651
0.408643,2.667434,0.495186
0.410890,2.667047,0.497717
0.413138,2.666658,0.500247
0.415386,2.666267,0.502774
0.417635,2.665875,0.505299
0.419884,2.665481,0.507822
0.422134,2.665086,0.510342
0.424385,2.664689,0.512860
0.426636,2.664291,0.515375
0.428888,2.663890,0.517888
0.431140,2.663488,0.520399
0.433393,2.663085,0.522907
0.435647,2.662680,0.525413
0.437901,2.662274,0.527916
0.440156,2.661865,0.530417
0.442412,2.661456,0.532915
0.444668,2.661044,0.535411
0.446925,2.660632,0.537905
0.449182,2.660217,0.540396
0.451441,2.659801,0.542884
0.453699,2.659384,0.545370
0.455959,2.658965,0.547853
0.458219,2.658544,0.550334
0.460480,2.658122,0.552812
0.462741,2.657699,0.555288
0.465004,2.657274,0.557761
0.467266,2.656848,0.560231
0.469530,2.656420,0.562699
0.471794,2.655990,0.565164
0.474059,2.655559,0.567627
0.476324,2.655127,0.570087
0.478591,2.654693,0.572544
0.480857,2.654258,0.574999
0.483125,2.653821,0.577450
0.485393,2.653383,0.579900
0.487662,2.652944,0.582346
0.489932,2.652503,0.584790
0.492202,2.652061,0.587231
0.494473,2.651617,0.589669
0.496745,2.651172,0.592105
0.499017,2.650725,0.594538
0.501290,2.650278,0.596968
0.503564,2.649828,0.599395
0.505839,2.649378,0.601820
0.508114,2.648926,0.604241
0.510390,2.648473,0.606660
0.512667,2.648018,0.609076
0.514944,2.647562,0.611489
0.517222,2.647105,0.613900
0.519501,2.646647,0.616307
0.521781,2.646187,0.618712
0.524061,2.645726,0.621113
0.526342,2.645264,0.623512
0.528624,2.644800,0.625908
0.530907,2.644335,0.628301
0.533190,2.643869,0.630691
0.535474,2.643402,0.633078
0.537759,2.642933,0.635462
0.540044,2.642463,0.637844
0.542330,2.641992,0.640222
0.544617,2.641520,0.642597
0.546905,2.641046,0.644969
0.549194,2.640572,0.647338
0.551483,2.640096,0.649705
0.553773,2.639619,0.652068
0.556064,2.639141,0.654428
0.558356,2.638661,0.656785
0.560648,2.638181,0.659139
0.562941,2.637699,0.661490
0.565235,2.637216,0.663838
0.567530,2.636732,0.666183
0.569825,2.636247,0.668524
0.572121,2.635761,0.670863
0.574418,2.635274,0.673198
0.576716,2.634786,0.675530
0.579015,2.634296,0.677860
0.581314,2.633806,0.680185
0.583614,2.633314,0.682508
0.585915,2.632822,0.684828
0.588217,2.632328,0.687144
0.590520,2.631833,0.689457
0.592823,2.631338,0.691767
0.595127,2.630841,0.694074
0.597432,2.630343,0.696378
0.599738,2.629845,0.698678
0.602044,2.629345,0.700975
0.604352,2.628844,0.703268
0.606660,2.628342,0.705559
0.608969,2.627840,0.707846
0.611279,2.627336,0.710130
0.613590,2.626832,0.712410
0.615901,2.626326,0.714688
0.618213,2.625820,0.716961
0.620527,2.625313,0.719232
0.622840,2.624804,0.721499
0.625155,2.624295,0.723763
0.627471,2.623785,0.726023
0.629787,2.623274,0.728280
0.632105,2.622763,0.730534
0.634423,2.622250,0.732784
0.636742,2.621737,0.735031
0.639061,2.621222,0.737274
0.641382,2.620707,0.739514
0.643704,2.620191,0.741750
0.646026,2.619674,0.743983
0.648349,2.619157,0.746213
0.650673,2.618639,0.748439
0.652998,2.618119,0.750661
0.655324,2.617599,0.752880
0.657650,2.617079,0.755096
0.659978,2.616557,0.757308
0.662306,2.616035,0.759516
0.664635,2.615512,0.761721
0.666965,2.614989,0.763922
0.669296,2.614464,0.766120
0.671628,2.613939,0.768314
0.673960,2.613414,0.770505
0.676294,2.612887,0.772692
0.678628,2.612360,0.774875
0.680964,2.611832,0.777055
0.683300,2.611304,0.779231
0.685637,2.610775,0.781404
0.687975,2.610245,0.783573
0.690313,2.609715,0.785738
0.692653,2.609184,0.787899
0.694993,2.608652,0.790057
0.697335,2.608120,0.792211
0.699677,2.607587,0.794362
0.702020,2.607054,0.796508
0.704364,2.606520,0.798651
0.706709,2.605986,0.800791
0.709055,2.605451,0.802926
0.711402,2.604915,0.805058
0.713749,2.604379,0.807186
0.716098,2.603843,0.809310
0.718447,2.603306,0.811431
0.720798,2.602768,0.813547
0.723149,2.602230,0.815660
0.725501,2.601692,0.817769
0.727854,2.601153,0.819874
0.730208,2.600614,0.821976
0.732563,2.600074,0.824073
0.734918,2.599533,0.826167
0.737275,2.598993,0.828257
0.739632,2.598452,0.830343
0.741991,2.597910,0.832425
0.744350,2.597368,0.834503
0.746711,2.596826,0.836577
0.749072,2.596283,0.838648
0.751434,2.595740,0.840714
0.753797,2.595197,0.842777
0.756161,2.594653,0.844835
0.758526,2.594109,0.846890
0.760891,2.593565,0.848940
0.763258,2.593020,0.850987
0.765626,2.592476,0.853030
0.767994,2.591930,0.855069
0.770364,2.591385,0.857103
0.772734,2.590839,0.859134
0.775106,2.590293,0.861161
0.777478,2.589747,0.863183
0.779851,2.589201,0.865202
0.782225,2.588654,0.867217
0.784600,2.588107,0.869227
0.786976,2.587560,0.871234
0.789353,2.587013,0.873236
0.791731,2.586465,0.875234
0.794110,2.585918,0.877229
0.796489,2.585370,0.879219
0.798870,2.584822,0.881205
0.801252,2.584274,0.883187
0.803634,2.583726,0.885164
0.806018,2.583177,0.887138
0.808402,2.582629,0.889108
0.810787,2.582080,0.891073
0.813174,2.581532,0.893034
0.815561,2.580983,0.894991
0.817949,2.580434,0.896944
0.820338,2.579886,0.898892
0.822728,2.579337,0.900837
0.825119,2.578788,0.902777
0.827511,2.578239,0.904713
0.829904,2.577690,0.906645
0.832298,2.577142,0.908572
0.834693,2.576593,0.910495
0.837088,2.576044,0.912414
0.839485,2.575495,0.914329
0.841883,2.574947,0.916239
0.844281,2.574398,0.918145
0.846681,2.573849,0.920047
0.849081,2.573301,0.921945
0.851483,2.572753,0.923838
0.853885,2.572204,0.925727
0.856288,2.571656,0.927611
0.858693,2.571108,0.929492
0.861098,2.570560,0.931367
0.863504,2.570013,0.933239
0.865911,2.569465,0.935106
0.868319,2.568918,0.936969
0.870729,2.568370,0.938827
0.873139,2.567823,0.940681
0.875550,2.567276,0.942531
0.877961,2.566730,0.944376
0.880374,2.566183,0.946217
0.882788,2.565637,0.948053
0.885203,2.565091,0.949885
0.887619,2.564546,0.951712
0.890036,2.564000,0.953535
0.892453,2.563455,0.955354
0.894872,2.562910,0.957168
0.897291,2.562366,0.958978
0.899712,2.561822,0.960783
0.902133,2.561278,0.962583
0.904556,2.560734,0.964379
0.906979,2.560191,0.966171
0.909404,2.559648,0.967958
0.911829,2.559106,0.969741
0.914255,2.558564,0.971519
0.916683,2.558022,0.973292
0.919111,2.557481,0.975061
0.921540,2.556940,0.976825
0.923970,2.556399,0.978585
0.926401,2.555859,0.980340
0.928833,2.555320,0.982091
0.931266,2.554781,0.983837
0.933700,2.554242,0.985578
0.936135,2.553704,0.987315
0.938571,2.553166,0.989047
0.941008,2.552629,0.990774
0.943446,2.552093,0.992497
0.945884,2.551556,0.994215
0.948324,2.551021,0.995929
0.950765,2.550486,0.997638
0.953206,2.549951,0.999342
0.955649,2.549417,1.001042
0.958092,2.548884,1.002737
0.960537,2.548351,1.004427
0.962982,2.547819,1.006112
0.965429,2.547288,1.007793
0.967876,2.546757,1.009469
0.970324,2.546227,1.011140
0.972774,2.545697,1.012807
0.975224,2.545168,1.014469
0.977675,2.544640,1.016126
0.980127,2.544112,1.017778
0.982580,2.543585,1.019426
0.985034,2.543059,1.021069
