init_r,r,ur
2.687940,3.261118,0.058017
2.687940,10.306221,-0.073624
2.687940,2.883915,-0.025522
2.687940,2.694049,0.003484
2.687940,3.859332,0.092351
2.687940,6.846043,-0.127062
2.687940,2.772410,-0.013420
2.687940,2.745464,0.010221
2.687940,5.826861,0.129363
2.687940,4.244601,-0.106645
2.687940,2.703286,-0.005004
2.687940,2.824816,0.019380
2.687940,8.696144,0.106037
2.687940,3.474464,-0.072324
2.687940,2.686910,-0.001644
2.687940,3.018949,0.038380
2.687940,11.742569,0.003635
2.687940,3.035583,-0.039860
2.687940,2.686944,0.001526
2.687940,3.458297,0.071327
2.687940,8.802709,-0.104319
2.687940,2.828193,-0.019739
2.687940,2.702711,0.004912
2.687940,4.220678,0.105896
2.687940,5.875767,-0.129468
2.687940,2.746776,-0.010373
2.687940,2.771762,0.013339
2.687940,6.820901,0.127216
2.687940,3.866653,-0.092670
2.687940,2.694275,-0.003507
2.687940,2.884272,0.025556
2.687940,10.313901,0.073427
2.687940,3.260201,-0.057949
2.687940,2.688049,0.000019
2.687940,3.265591,0.058343
2.687940,10.269072,-0.074566
2.687940,2.882266,-0.025352
2.687940,2.694598,0.003560
2.687940,3.879903,0.093244
2.687940,6.776086,-0.127481
2.687940,2.770581,-0.013197
2.687940,2.748313,0.010555
2.687940,5.933630,0.129560
2.687940,4.193283,-0.105017
2.687940,2.702035,-0.004808
2.687940,2.831545,0.020096
2.687940,8.907097,0.102585
2.687940,3.442848,-0.070363
2.687940,2.686965,-0.001414
2.687940,3.051129,0.041225
2.687940,11.718590,-0.010136
2.687940,3.004667,-0.037094
2.687940,2.686877,0.001745
2.687940,3.488261,0.073163
2.687940,8.607346,-0.107428
2.687940,2.822035,-0.019083
2.687940,2.703688,0.005071
2.687940,4.261804,0.107174
2.687940,5.792592,-0.129274
2.687940,2.744536,-0.010115
2.687940,2.772594,0.013447
2.687940,6.853870,0.127013
2.687940,3.857064,-0.092252
2.687940,2.693924,-0.003483
2.687940,2.882085,0.025339
2.687940,10.265616,0.074653
2.687940,3.265993,-0.058375
2.687940,2.687781,-0.000054
