init_r,r,ur
2.780000,4.790253,0.119221
2.780000,5.027326,-0.122942
2.780000,2.780873,-0.001416
2.780000,4.585693,0.115098
2.780000,5.280083,-0.125832
2.780000,2.783271,-0.002745
2.780000,4.422031,0.111101
2.780000,5.525692,-0.127724
2.780000,2.786622,-0.003911
2.780000,4.300502,0.107681
2.780000,5.740533,-0.128737
2.780000,2.790231,-0.004846
2.780000,4.218412,0.105129
2.780000,5.905040,-0.129151
2.780000,2.793482,-0.005505
2.780000,4.172083,0.103592
2.780000,6.006078,-0.129260
2.780000,2.795944,-0.005859
2.780000,4.158614,0.103121
2.780000,6.037047,-0.129268
2.780000,2.797399,-0.005894
2.780000,4.176633,0.103713
2.780000,5.997089,-0.129238
2.780000,2.797828,-0.005606
2.780000,4.226407,0.105323
2.780000,5.890484,-0.129092
2.780000,2.797384,-0.005004
2.780000,4.309510,0.107861
2.780000,5.726510,-0.128637
2.780000,2.796360,-0.004110
2.780000,4.428045,0.111155
2.780000,5.519324,-0.127617
2.780000,2.795148,-0.002964
2.780000,4.583273,0.114931
2.780000,5.287041,-0.125811
2.780000,2.794161,-0.001626
2.780000,4.773683,0.118808
2.780000,5.049457,-0.123136
2.780000,2.793728,-0.000179
2.780000,4.992976,0.122363
2.780000,4.824754,-0.119719
2.780000,2.793995,0.001280
2.780000,5.228965,0.125239
2.780000,4.626518,-0.115881
2.780000,2.794872,0.002653
2.780000,5.464358,0.127256
2.780000,4.462438,-0.112043
2.780000,2.796066,0.003852
2.780000,5.679432,0.128450
2.780000,4.335019,-0.108601
2.780000,2.797174,0.004812
2.780000,5.855401,0.129019
2.780000,4.243482,-0.105860
2.780000,2.797792,0.005488
2.780000,5.977013,0.129219
2.780000,4.185780,-0.104013
2.780000,2.797595,0.005853
2.780000,6.033774,0.129264
2.780000,4.160116,-0.103168
2.780000,2.796394,0.005897
2.780000,6.020188,0.129266
2.780000,4.165861,-0.103379
2.780000,2.794165,0.005620
2.780000,5.935827,0.129195
2.780000,4.203978,-0.104658
2.780000,2.791075,0.005033
2.780000,5.785816,0.128881
2.780000,4.277035,-0.106972
2.780000,2.787503,0.004161
2.780000,5.581649,0.128043
2.780000,4.388640,-0.110202
