phi,r,z
0.000844,5.000000,0.002334
0.001688,4.999999,0.004668
0.002532,4.999997,0.007003
0.003376,4.999995,0.009337
0.004219,4.999991,0.011671
0.005063,4.999988,0.014005
0.005907,4.999983,0.016339
0.006751,4.999978,0.018674
0.007595,4.999972,0.021008
0.008439,4.999966,0.023342
0.009283,4.999959,0.025676
0.010127,4.999951,0.028010
0.010971,4.999942,0.030344
0.011814,4.999933,0.032678
0.012658,4.999923,0.035012
0.013502,4.999913,0.037346
0.014346,4.999902,0.039680
0.015190,4.999890,0.042014
0.016034,4.999877,0.044348
0.016878,4.999864,0.046682
0.017722,4.999850,0.049016
0.018566,4.999835,0.051350
0.019410,4.999820,0.053684
0.020254,4.999804,0.056017
0.021098,4.999787,0.058351
0.021942,4.999770,0.060685
0.022786,4.999752,0.063018
0.023630,4.999733,0.065352
0.024474,4.999714,0.067685
0.025318,4.999694,0.070019
0.026162,4.999673,0.072352
0.027006,4.999652,0.074686
0.027850,4.999629,0.077019
0.028694,4.999607,0.079352
0.029538,4.999583,0.081685
0.030382,4.999559,0.084018
0.031226,4.999534,0.086351
0.032070,4.999509,0.088684
0.032914,4.999483,0.091017
0.033758,4.999456,0.093350
0.034602,4.999428,0.095683
0.035446,4.999400,0.098016
0.036290,4.999371,0.100348
0.037134,4.999341,0.102681
0.037978,4.999311,0.105013
0.038822,4.999280,0.107346
0.039667,4.999249,0.109678
0.040511,4.999216,0.112010
0.041355,4.999183,0.114342
0.042199,4.999150,0.116674
0.043043,4.999115,0.119006
0.043887,4.999080,0.121338
0.044732,4.999045,0.123670
0.045576,4.999008,0.126002
0.046420,4.998971,0.128333
0.047264,4.998934,0.130665
0.048109,4.998895,0.132996
0.048953,4.998856,0.135327
0.049797,4.998817,0.137658
0.050641,4.998776,0.139989
0.051486,4.998735,0.142320
0.052330,4.998693,0.144651
0.053174,4.998651,0.146982
0.054019,4.998608,0.149313
0.054863,4.998564,0.151643
0.055707,4.998520,0.153974
0.056552,4.998474,0.156304
0.057396,4.998429,0.158634
0.058241,4.998382,0.160964
0.059085,4.998335,0.163294
0.059930,4.998287,0.165624
0.060774,4.998239,0.167954
0.061619,4.998189,0.170283
0.062463,4.998140,0.172612
0.063308,4.998089,0.174942
0.064152,4.998038,0.177271
0.064997,4.997986,0.179600
0.065841,4.997934,0.181929
0.066686,4.997880,0.184258
0.067531,4.997826,0.186586
0.068375,4.997772,0.188915
0.069220,4.997717,0.191243
0.070065,4.997661,0.193571
0.070909,4.997604,0.195899
0.071754,4.997547,0.198227
0.072599,4.997489,0.200555
0.073444,4.997430,0.202882
0.074288,4.997371,0.205210
0.075133,4.997311,0.207537
0.075978,4.997251,0.209864
0.076823,4.997189,0.212191
0.077668,4.997128,0.214518
0.078513,4.997065,0.216844
0.079357,4.997002,0.219171
0.080202,4.996938,0.221497
0.081047,4.996873,0.223823
0.081892,4.996808,0.226149
0.082737,4.996742,0.228475
0.083582,4.996675,0.230800
0.084427,4.996608,0.233126
0.085272,4.996540,0.235451
0.086117,4.996472,0.237776
0.086963,4.996402,0.240101
0.087808,4.996332,0.242426
0.088653,4.996262,0.244750
0.089498,4.996191,0.247075
0.090343,4.996119,0.249399
0.091189,4.996046,0.251723
0.092034,4.995973,0.254046
0.092879,4.995899,0.256370
0.093724,4.995824,0.258693
